d;a;c
632;101268;9999;
633;101270;9999;
634;101272;9999;
635;101274;9999;
636;101276;9999;
637;101278;9999;
638;101280;9999;
639;101282;9999;
640;101284;9999;
641;101286;9999;
642;101288;9999;
643;101290;9999;
644;101292;9999;
645;101294;9999;
646;101296;9999;
647;101298;9999;
648;101300;9999;
649;101302;9999;
650;101304;9999;
651;101306;9999;
652;101308;9999;
653;101310;9999;
654;101312;9999;
655;101314;9999;
656;101316;9999;
657;101318;9999;
658;101320;9999;
659;101322;9999;
660;101324;9999;
661;101326;9999;
662;101328;9999;
663;101330;9999;
664;101332;9999;
665;101334;9999;
666;101336;9999;
667;101338;9999;
668;101340;9999;
669;101342;9999;
670;101344;9999;
671;101346;9999;
672;101348;9999;
673;101350;9999;
674;101352;9999;
675;101354;9999;
676;101356;9999;
677;101358;9999;
678;101360;9999;
679;101362;9999;
680;101364;9999;
681;101366;9999;
682;101368;9999;
683;101370;9999;
684;101372;9999;
685;101374;9999;
686;101376;9999;
687;101378;9999;
688;101380;9999;
689;101382;9999;
690;101384;9999;
691;101386;9999;
692;101388;9999;
693;101390;9999;
694;101392;9999;
695;101394;9999;
696;101396;9999;
697;101398;9999;
698;101400;9999;
699;101402;9999;
700;101404;9999;
701;101406;9999;
702;101408;9999;
703;101410;9999;
704;101412;9999;
705;101414;9999;
706;101416;9999;
707;101418;9999;
708;101420;9999;
709;101422;9999;
710;101424;9999;
711;101426;9999;
712;101428;9999;
713;101430;9999;
714;101432;9999;
715;101434;9999;
716;101436;9999;
717;101438;9999;
718;101440;9999;
719;101442;9999;
720;101444;9999;
721;101446;9999;
722;101448;9999;
723;101450;9999;
724;101452;9999;
725;101454;9999;
726;101456;9999;
727;101458;9999;
728;101460;9999;
729;101462;9999;
730;101464;9999;
731;101466;9999;
732;101468;9999;
733;101470;9999;
734;101472;9999;
735;101474;9999;
736;101476;9999;
737;101478;9999;
738;101480;9999;
739;101482;9999;
740;101484;9999;
741;101486;9999;
742;101488;9999;
743;101490;9999;
744;101492;9999;
745;101494;9999;
746;101496;9999;
747;101498;9999;
748;101500;9999;
749;101502;9999;
750;101504;9999;
751;101506;9999;
752;101508;9999;
753;101510;9999;
754;101512;9999;
755;101514;9999;
756;101516;9999;
757;101518;9999;
758;101520;9999;
759;101522;9999;
760;101524;9999;
761;101526;9999;
762;101528;9999;
763;101530;9999;
764;101532;9999;
765;101534;9999;
766;101536;9999;
767;101538;9999;
768;101540;9999;
769;101542;9999;
770;101544;9999;
771;101546;9999;
772;101548;9999;
773;101550;9999;
774;101552;9999;
775;101554;9999;
776;101556;9999;
777;101558;9999;
778;101560;9999;
779;101562;9999;
780;101564;9999;
781;101566;9999;
782;101568;9999;
783;101570;9999;
784;101572;9999;
785;101574;9999;
786;101576;9999;
787;101578;9999;
788;101580;9999;
789;101582;9999;
790;101584;9999;
791;101586;9999;
792;101588;9999;
793;101590;9999;
794;101592;9999;
795;101594;9999;
796;101596;9999;
797;101598;9999;
798;101600;9999;
799;101602;9999;
800;101604;9999;
801;101606;9999;
802;101608;9999;
803;101610;9999;
804;101612;9999;
805;101614;9999;
806;101616;9999;
807;101618;9999;
808;101620;9999;
809;101622;9999;
810;101624;9999;
811;101626;9999;
812;101628;9999;
813;101630;9999;
814;101632;9999;
815;101634;9999;
816;101636;9999;
817;101638;9999;
818;101640;9999;
819;101642;9999;
820;101644;9999;
821;101646;9999;
822;101648;9999;
823;101650;9999;
824;101652;9999;
825;101654;9999;
826;101656;9999;
827;101658;9999;
828;101660;9999;
829;101662;9999;
830;101664;9999;
831;101666;9999;
832;101668;9999;
833;101670;9999;
834;101672;9999;
835;101674;9999;
836;101676;9999;
837;101678;9999;
838;101680;9999;
839;101682;9999;
840;101684;9999;
841;101686;9999;
842;101688;9999;
843;101690;9999;
844;101692;9999;
845;101694;9999;
846;101696;9999;
847;101698;9999;
848;101700;9999;
849;101702;9999;
850;101704;9999;
851;101706;9999;
852;101708;9999;
853;101710;9999;
854;101712;9999;
855;101714;9999;
856;101716;9999;
857;101718;9999;
858;101720;9999;
859;101722;9999;
860;101724;9999;
861;101726;9999;
862;101728;9999;
863;101730;9999;
864;101732;9999;
865;101734;9999;
866;101736;9999;
867;101738;9999;
868;101740;9999;
869;101742;9999;
870;101744;9999;
871;101746;9999;
872;101748;9999;
873;101750;9999;
874;101752;9999;
875;101754;9999;
876;101756;9999;
877;101758;9999;
878;101760;9999;
879;101762;9999;
880;101764;9999;
881;101766;9999;
882;101768;9999;
883;101770;9999;
884;101772;9999;
885;101774;9999;
886;101776;9999;
887;101778;9999;
888;101780;9999;
889;101782;9999;
890;101784;9999;
891;101786;9999;
892;101788;9999;
893;101790;9999;
894;101792;9999;
895;101794;9999;
896;101796;9999;
897;101798;9999;
898;101800;9999;
899;101802;9999;
900;101804;9999;
901;101806;9999;
902;101808;9999;
903;101810;9999;
904;101812;9999;
905;101814;9999;
906;101816;9999;
907;101818;9999;
908;101820;9999;
909;101822;9999;
910;101824;9999;
911;101826;9999;
912;101828;9999;
913;101830;9999;
914;101832;9999;
915;101834;9999;
916;101836;9999;
917;101838;9999;
918;101840;9999;
919;101842;9999;
920;101844;9999;
921;101846;9999;
922;101848;9999;
923;101850;9999;
924;101852;9999;
925;101854;9999;
926;101856;9999;
927;101858;9999;
928;101860;9999;
929;101862;9999;
930;101864;9999;
931;101866;9999;
932;101868;9999;
933;101870;9999;
934;101872;9999;
935;101874;9999;
936;101876;9999;
937;101878;9999;
938;101880;9999;
939;101882;9999;
940;101884;9999;
941;101886;9999;
942;101888;9999;
943;101890;9999;
944;101892;9999;
945;101894;9999;
946;101896;9999;
947;101898;9999;
948;101900;9999;
949;101902;9999;
950;101904;9999;
951;101906;9999;
952;101908;9999;
953;101910;9999;
954;101912;9999;
955;101914;9999;
956;101916;9999;
957;101918;9999;
958;101920;9999;
959;101922;9999;
960;101924;9999;
961;101926;9999;
962;101928;9999;
963;101930;9999;
964;101932;9999;
965;101934;9999;
966;101936;9999;
967;101938;9999;
968;101940;9999;
969;101942;9999;
970;101944;9999;
971;101946;9999;
972;101948;9999;
973;101950;9999;
974;101952;9999;
975;101954;9999;
976;101956;9999;
977;101958;9999;
978;101960;9999;
979;101962;9999;
980;101964;9999;
981;101966;9999;
982;101968;9999;
983;101970;9999;
984;101972;9999;
985;101974;9999;
986;101976;9999;
987;101978;9999;
988;101980;9999;
989;101982;9999;
990;101984;9999;
991;101986;9999;
992;101988;9999;
993;101990;9999;
994;101992;9999;
995;101994;9999;
996;101996;9999;
997;101998;9999;
998;102000;9999;
999;102002;9999;
1000;102004;9999;
